ajoneuvot07194	unclear,positive,neutral	jousitus	No audissa on 142mm ja 	subarussa	 144mm ? Ja onhan tossa normaalissa kutosessa pitkä ja pehmeä jousitus . Toteutettu vielä monitukivarsilla mäcpearsonin sijasta . Varmasti kokonaisuudessaan antaa paremmat kyydit mitä tollanen imppu .
ajoneuvot07825	neutral,neutral,neutral,neutral	merkki	Veikkaan , että kyse oli 	206 pösöstä	 , mutta oon ennenkin ollu väärässä .
ajoneuvot09943	positive,positive,neutral	kestävyys,kestävyys,kestävyys		Mondeo	 pitää olla 2 litraisella koneella , se nimittäin kestää ihan jäätävää rääkkäystä . Rauhallinen ajo kylmänä ja lämpimänä voi sitten rääkätä ihan huoletta . Kyllä zetecci kestää ja kestää , kulutuskaan ei ole paha .
ajoneuvot10480	positive,positive,positive	kesto,laatu	johtuu varmaan toi osittain siitä että lähes poikkeuksetta kaikki joutuu iän myötä nuorison käyttöön ja silloin sitä sikaa vasta alkaa tulla . itsellä erittäin hyviä kokemuksia 	bemareista	 , etenkin kutoskoneista . tähän mennessä ollut 3kpl , eikä käytännössä mitään vikaa . vanhimmassa 92vm : ssä jouduin imupuolen putkia uusimaan , kun olivat haurastuneet ja halkeilleet .
ajoneuvot12027	neutral,unclear	hinta	Ei kai se 	Lagunan	 hihnanvaihto nyt niin kallis voi olla , vai meneekö muutakin uusiksi samalla ?
harrastukset00877	positive,positive	hyvyys,laatu	onko 	FT	 siis ylivoimaisesti paras monomerkki ? t.lautailija . kaikki suksijakaverit sanoo noin ja välillä leikittelen idealla että vaihtasi joksikin kaudeksi suksiin ihan vaan vaihtelun vuoksi .
harrastukset01720	positive,neutral,positive,positive,positive	sarjataso,taitavuus,taso,taso	Niin ja eikös 	Trojans	 pelaa vaahteraliigassa eli korkeimmalla sarjatasolla Suomessa ? Täytyy tyyppien siellä nyt jotain osata jos kerta kolmosdivarissakin on elämää .
harrastukset01800	positive,neutral	toimivuus	Vähän kaikenlaista , tällä hetkellä oon heitelly kalevan miekkaa , bossia , mambaa ja beastia . 	Buzz SS	 toimii mun midikiekkona . Kaikki kiekot midikiekosta drivereihin lentää kuitenkin melkee yhtä pitkälle , 50-70m . Heittelin ennen leopardia driverinä mutta oon niitä kadottanu 2 ja ei oo viittiny ostaa kolmatta . Jep , niitä on tullu katottua mutta jotenkin on vaan niin hankalaa omaksua niitä heittoja niin hyvin .
harrastukset02364	positive,positive,positive,positive	koko,koko,koko,ulkonäkö,ulkonäkö		HRC	 suomen suurin ja kaunein ! T . HRC ja U20 majuleireilijä
masiinat00143	neutral,neutral,neutral,neutral		Kokeile vaikka ihan kirjoittamalla 	ebay	 hakuun vintage keyboard ja katso miellyttääkö silmää .
masiinat00412	neutral,neutral,unclear,neutral,neutral	kysymys,ominaisuudet,tietokone	Kertokaa minulla tuosta ensimmäisestä 	T60	 mallista . Kannattaako ostaa ? Miksi ? Mitä sillä voi edes tehdä paitsi selata nettiä ?
masiinat00630	mixed,positive,positive	hinta,hinta,laatu,laatu,laatu	Aika kalliilta vaikuttaa kun ostin itse T410 320€ : lla . Mutta ainakin tämä 	T410	 on ollut 5/5 läppäri ja en usko että tuo sen huonompi oikeastaan on , prossu vähän hitaampi vain .
masiinat00930	positive,positive	laatu	Skippaa ne kiinanpaskat suosiolla ja valitse 	Motorola Moto G	. http://www.trustedreviews.com/motorola-moto-g_Mobile-Phone_review jätän tämän vain tähän
masiinat01109	positive,positive,positive,positive	apple,laatu,laatu,laatu,laatu,tuntuma,yleiskuva	Miksei masiinoissa ole ikinä OS X tai Mac lankaa ? Itse omistan PC : n mutta läppärinä on Macbook Pro Retina . Pesee kevyesti paneelin laadussa , keveydessä ja prossun tehoissa useimmat koneet . Näyttis ihan mukiinmenevä . Myös 	Airit	 ovat varmaan mukavimpia ja laadukkaimpia ultrabookkeja mitä on saatavilla . Onko aihe tabu laudalla jossa gentoon pakotus on jo meemi , Linux pyhä lehmä ja Windows vakiovalinta ?
masiinat02253	unclear,neutral,neutral		no kyllähän zunellaki pitäis saada t . 	lumia 800	 omistaja
masiinat03025	neutral,unclear,neutral	yleinen		Googlella	 löytyi tämmöinen kuva ja pitää kysellä onko kyseessä sama laite ? Monoksi helppo muuntaa käyttämällä vain toista kanavaa eli ota vaikka vain toinen lähtö käyttöön , tuloilla ei väliä , koska toista tuloa ei lähetetä minnekkään , jos mikin irroittaminen vaikuttaa jotenkin toisenkin kanavan ääneen . Kiinnostaisi tietää miten oikein olet kytkenyt laitteet ?
masiinat03086	neutral,neutral		miten saan lumiassa ( 620 ) 	WhatsAppin	 toimimaan siten että viestin saavuttuani saa ilmoituksen siitä automaattisesti ; koska nyt näyttää sitlä että minun pitää aina erikseen avata ohjemla tarkistaakseni saapuneita viestejä
masiinat03496	negative,neutral,neutral	toimivuus	APlla kuvanmukainen tablet-tietokone käytössä , ja kaipaisin apua ohjelmistopäivityksen kanssa . Tablet lataa päivityspaketin moitteettomasti , asentaa ja käynnistyy uudelleen . Käynnistyttyä ruutuun hyppää teksti Ohjelmistopäivitys epäonnistui , yritä uudelleen Kiesin avulla tai ota yhteyttä Samsungille blaablaa . Olen yrittänyt moneen kertaan päivittää 	Kiesin	 avulla tai ilman onnistumatta . Missä mättää ?
masiinat03687	positive,negative,mixed	kysymys,kätevyys,käytettävyys,lukitus,toimivuus	Ostin Htc Onelleni kuvan tyylisen flip coverin . Saako mitenkään , että kun suojan avaa , niin samalla näppäinlukko aukeaa , ja puhelin menee kotinäytölle ? Ja luonnollisesti kun suojan laittaa takaisin kiinni niin lukitus menee päälle ja näyttö pimenee ? Kaverillani on 	Galaxy S4	 , ja siinä ainakin saa tällälailla . Olisi kätevä , kun tämän suojan kanssa lukitusnäppäimen painaminen tuntuu ainakin näin alkuun kovin luonnottomalta ( lukitus puhelimen yläosassa ) .
masiinat03816	neutral,neutral		Kenelläkään 	OnePlus Onea	 ? Oisko inviteä heittää ? Jos saan inviten heitän kaikki omat inviteni tähän lankaan . Jos kellään ei ole niin sitten yleistä keskustelua kyseisestä puhelimesta .
masiinat04764	neutral,neutral,neutral	laatu,yleinen	Mikähän olisi paras nykyisistä Macbook Pro 13 Retina musiikin tuottamista ajatellen ? Noita on niin eri malleja , enkä suoraan sanottuna itse tiedä noista tehoista . 	Logic Pro x	 on softa . Eikös noihin saa vielä tilauksen yhteydessä ostettua lisää muistia tai jotain ? Jos viitsit , neuvo vähän nyymiä ekan mäkin ostamisessa , miten valita paras markkinoilla olevista 13 prosta .
masiinat04788	positive,positive,positive,positive	laatu,laatu	Samassa hintaluokassa nuo kaikki vastaavilla spekseillä varustetut läppärit pyörivät . Osta halvin retina ja siihen prosessori- ja muistiparannukset . Älä unohda panostaa kunnolla äänentoistoon , se tuossa hommassa tärkein osuus on . Esim . 	Sennheiser HD600/650	 ja O2+ODAC kombolla pääsee hyvään alkuun .
masiinat05207	negative,negative,negative,negative,negative	laatu,laatu,laatu,laatu,mielipide	tietääkseni 	asuksen	 tekemät näyttis coolerit on kohtuu huonoja verrattuna esim. gigabyten
masiinat06242	negative,neutral,negative	tehokkuus,varustetaso	Tosin 	Apple	 ei onnistuntu tuomaan 16:10 näyttöjä normaalille kuluttajille , vaan lampaat menivät HD-hypen perässä , joten eiköhän normaalit näytöt tule jäämään jälleen kerran jumiin 4k:hon .
masiinat06291	positive,positive,positive,positive	laatu,laatu,luotettavu,luotettavuus	Eipä omassa ole mitään tuommoisia ollut , nytkin käytössä 	MIUI v6	 developerversio ja yhtäkään kaatumista tai muuta vikaa ei ole ilmennyt kertaakaan 2kk aikana . Jättäkää ne halpissamsungit sinne kauppoihin .
masiinat06419	positive,positive,neutral,positive,positive	pelaaminen,pelaaminen,pelaaminen,tehokkuus	- Mac:lla ei pelata . - Läppärillä ei pelata . - Osta pelaamiseen 	windows	 pöytäkone .
masiinat06637	neutral,negative,neutral	toimintakyky,toimivuus	Elikkäs tänään tietokoneessani esiintyi pieni ongelma . Olin tuossa noin 2 tuntia sitten koneellani normaalisti kunnes se sammui kokonaan . Lopputuloksena kone ei siis lähde ollenkaan päälle virtanapista . Olen kokeillut vaihtaa virtalähdettä , testannut virtajohdon toimivuuden ja muita mahdollisia ratkaisuja . Mikään ei ole tähän mennessä toiminut . Koneessa on 	seasonic	 520-gb virtalähde . Mitkähän ongelmat voisivat vaikuttaa koneeni käynnistymiseen ? Olisiko teillä neuvoja ? Pahoittelen kirjoitusvirheistä .
masiinat06679	positive,positive,positive	kuntoisuus,laatu	V300 uudemmat tuotantoerät ovat selkeästi hitaampia kuin vanhemmat ( eli ne joista on arvosteluja ) ja EVO hidastuu käytössä reippaasti , tosin Samsung on hotfixin tehnyt sille , mutta kuulema ongelmia vieläkin . Nuo nyt sattuvat olemaan huonoimmat valinnat tällä hetkellä , Samsungin pro tai sitten 	Crucial mx100	 ovat hyviä valintoja .
masiinat07140	neutral,neutral		Molemmat Nexus 7 : t ovat saamassa päivityksen 	Lollipoppiin	 . Netistä voi jo ladata päivityksen ja asentaa itse , OTA-päivityksen ajankohdasta ei tietoa . Luulisi senkin piakkoin tulevan .
masiinat07171	positive,neutral,neutral	ikä,ikä,ikä,laatu	en kyllä ostaisi 3 vuotta vanhaa kamaa vaikka siinä olisi minkä hedelmän kuva tahansa . 	5S	 on vanhin iphone mitä voin suositella ( 64bit takaa päivitykset moneksi vuodeksi eteenpäin )
masiinat07180	positive,positive,positive	hinta,hinta,hinta,koko	Lainaan myös lankaa . Eli olisi tässä joulun alla tarkoitus kytätä telkkari-tarjouksia ja ostaa babys first smart-tv missä on 3D-toiminto . 47 ' ' -55 ' ' Kokoista töllöä olisi tarkoitus hankkia , hinnat ovat käsittääkseni pyörineet karkeasti n. 600-1000€ nurkilla ( toki on kalliimpiakin ollut mutta näin omaan budjettiin sopivia ) Onko mitään merkkejä mitä kannattaa välttää tässä smart-tv/3D kategoriassa ? 	Philipsillä	 on ollut yllättävän halpoja telkkareita jos ollaan näin tuuma/hinta-skaalalla vertailtu .
masiinat07376	positive,positive	käytettävyys,ominaisuus	Uskoisin että ohjelmat ratkaisee enemmän kuin käyttöjärjestelmä , taikka koneen valmistaja . Macillä kuitenkin final cut niminen ohjelma joka on vain os x käyttöjärjestelmälle ja olen ymmärtänyt että tämän ohjelman takia 	macci	 olisi parempi videoeditointiin .
musiikki00194	neutral,positive		Suomi-jazz kuuluu kyllä siihen tyyliin mihin en ole oikeastaan ollenkaan tutustunut . Vaikuttaa mielenkiintoiselta . Itsellä viimeisin poisto oli LCD Soundystemin - Drunk Girls sinkku , jonka B-puolella 	Holy Ghost !: in	 remixi . ( Aivan loistava remixi onkin ) 4.5/5
musiikki00289	neutral,neutral		Joulukuussa olis tarkotus mennä kattomaan Hahdon soittoa , kun 	Rotten Sound	 soittaa 20v . juhlakeikalla Exit miehistöllä .
musiikki00465	negative,negative,negative	laatu,levy,ominaisuus,vuosi,yksinkertaisuus,ääni	En ole koskaan ymmärtänyt , mikä 	Transylvanian Hungerissa	 on niin hienoa ? Se äärimmäinen yksinkertaisuus ja necrot soundit ? Darkthronen huippu oli 1992-1993 , mutta eivät myöhemmät levytkään ole huonoja . Ohessa yksi omista suosikeista . Puristit eivät välttämättä pidä .
musiikki00794	negative,neutral,mixed	mielenkiinto,mielipide,sanoitus		Hugea	 tuli ennen kuunneltua nykyään noi levyt on vaan tossa telineessä pölyttymässä . Sanotukset on ollut nykyyän vähän mitään sanovia ja tylsiä .
musiikki03258	positive,positive,positive	laatu	Jay Kay on funk-jazz - velho . Yksi suosikkiyhtyeistäni , 	Jamiroquai	 nimittäin .
musiikki03423	mixed,mixed,mixed	laatu,mielipide,yleinen		Abigor	 : ensisilmäyksellä pelkkää primitiivistä paahtoa , mutta jos sitä jaksaa kuunnella , paljastuu se erittäin monitasoiseksi pläkkikseksi :D
musiikki05112	positive,positive,positive	laatu,mielipide		XMAS_EVET10	 on nyt noussut lukuisten uudelleenkuunteluiden myötä minulla henkilökohtaisesti yhdeksi parhaista Aphex Twinin biiseistä ikinä Kun ekaa kertaa kuuntelin levyn niin jäi tuohon kohtaan levyn läpi käyminen jumiin kun piti kuunnella joku 3-4 kertaa uudestaan heti :D
musiikki05817	negative,negative,negative	laatu,merkitys	Isona Devin fanina Z2 oli kyllä iso pettymys . Sky Blue oli yhdentekevää huttua samalla tavalla kuin Epicloud oli . Z2 ei lähde ikinä oikein kunnolla käyntiin , kun verrataan vaikka Z1 By Your Commandiin , joka heti määrittelee mistä on kyse . Sääli . Kaitpa se liian kova työtahti on johtanut miehen musan keskinkertaistumiseen . 	March of The Poozers	 oli kyl makee biisu kieltämättä !
musiikki06338	positive,mixed,negative	kuntoisuus,mielipide	Vanhana 	Pink Floyd	 fanina ei oikein toiminut . Toisaalta vika kappale , nervana iski siten että se oli kuunneltava ensi näkemältä kahdeksan kertaa putkeen . Muuten huono levy paitsi viiminen kappale .
musiikki07617	mixed,negative	laatu	Onkohan 	MPC : n	 softa oikeasti niin buginen ja huono kuin siitä puhutaan ? Saattaa nimittäin nyt videoiden perusteella Studiokin olla vaihtoehto ...
ohjelmistot00279	mixed,mixed	käytettävyys,laatu,toimivuus	Sulautetuissa varsinkin . Voisi olla joku sulautettu parempi lähestymistapa kuin Windows . Jos ei sulautettu kelpaa niin sitten Linux voisi olla seuraavaksi ja jos ei sekään niin sitten 	Windows	 .
ohjelmistot00288	positive,positive	toimivuus	kuten jo sanoin , miksi ei käyttäisi 	Skypeä	 ? Toimii kaikilla käyttiksillä , mobiililla , tableteille jne. ..? Puhelut ja kaikki .
ohjelmistot00597	negative,neutral,neutral	laatu,mielipide,yleinen	Käyttäjän vika jos manatut ATI : n ajurit eivät toimi yhtä hyvin kuin 	Windowsissa	 ? Ihan miten vaan .
ohjelmistot00607	positive,positive,positive	hankaluus,käytettävyys,nopeus	Teet käyttiksestäsi imagen ennen softan ajamista ja palautat imagen kun olet käyttänyt ja dellinyt softan . Hankalaa mutta 100% varmaa . Hankaluutta vähentääksesi kannattaa ottaa esim. 	VMWare	 käyttöön ja tehdä virtuaalikäyttis ja virtuaalikäyttiksestä ns. snapshot ( sama kuin image periaatteessa , mutta toiminto on huomattavasti nopeampi ) - Voit aina softaa kokeiltuasi palauttaa virtuaalikäyttiksesi snapshotin tilaan nopeasti ja helposti etkä koskaan joudu asentamaan varsinaista käyttistäsi uudelleen / ajamaan koko koneen laajuisia imageja sisään .
ohjelmistot01579	negative,negative	käytettävyys,käytettävyys,monipuolisuus	Aika rajoittuneet taidot kyllä on , jos vaan tekee 	Haskellilla	 . Tulee mieleen aika monta ongelmaa , mitä sillä ei voi ratkaista . Esim . kernelit ja niinkin yksinkertainen juttu kuin silmukkaiset tietorakenteet .
ohjelmistot01675	neutral,neutral,neutral,neutral		Miksi GIMP : n tulisi tulevaisuudessa käyttää Qt : tä ? Siksi , koska 	Qt	 on trendikkäämpi nykyään ?
ohjelmistot02585	negative,negative,negative,negative	laatu,laatu,laatu,laatu,mahdollisuus,suorituskyky	Tämä , ei sillä open officella väännä kuin jotain peruskoulun/lukion kirjoitelmia mitkä tulostetaan heti kirjoittamisen jälkeen . Mutta ammattikäytössä open office on melko varmasti paskaa . Suurin osa office ohjelmista on kuitenkin windowsin , niin väännäppä siinä hieno powerpoint esitys ja yritä näyttää sitä 	power pointissa	 töissä :DDD
ohjelmistot03504	neutral,neutral,negative		Scalan ongelmana taitaa olla JVM : n jähmeys ? Onko tähän mitään ratkaisua ? 	Java	-kehittäjälle melkein automaattinen työkaluketju on jokin IDE , Maven , hitaat käynnistysajat ja tämän päälle Scala kääntyy monen mielestä hitaasti .
ohjelmistot04481	neutral,neutral,neutral,neutral	perusteet	Moocissa kylläkin opetetaan harvinaisen värikkäästi 	javan	 peruskalustoa , on ties mitä robottiohjainta ja game of lifeä .
ohjelmistot04508	positive,neutral,unclear	käytettävyys	Jos perus c++ projekti , niin Qt ilman 	Qt : n	 kirjastoja ja jos jotain graafista niin Qt edelleen .
ohjelmistot04921	positive,positive,positive	helppous,käytettävyys,lisenssi,mielipide,nopeus,saatavuus,saavutettavuus,suorituskyky	Silloin ohjataan keskustelun suuntaa itse kertomalla esimerkiksi Atomin ylivoimaisuudesta . Ei voi olla niin vaikeaa . 	Vimi	 on oma valintani . Löytyy kaikkialta , on nopea ja sulava käyttää alkukankeuden jälkeen . Lisäksi godtier-lisenssi .
ohjelmistot05613	mixed,positive,neutral,neutral	helppous,käytettävyys,monipuolisuus,toimivuus	Bootstrapilla kyhäät melko nopeasti jonkun responsiivisen ja tyylikkään , mutta geneerisen sivun . Toki niitä 	bootstrapin	 oletustyylejä voi muokkailla sitten .
ohjelmistot05864	neutral,neutral,unclear,neutral	laatu,tekninen	Vaikka minimi olisi IE 11 , FF 31 , 	Chrome 32	 , niin silti selaimet rendaa eri tavalla .
ohjelmistot07131	negative,negative	koko,käytettävyys,nopeus	Java nyt vaan on raskas virtuaalikoneessa pyörivä pökäle joka peliohjelmointialustana aiheuttaa lähinnä kulutajien karttamisen kun pitää asentaa toi vitun 	java	 Säästän sulta tässä vaiheesse helvetisti aikaa ettet vaan pääse pidemmälle ja huomata jos joskus projekti valmis että mitä helvettiä tän alle tuli valittua
penkkiurheilu01317	neutral,neutral,neutral,neutral		Ja tosiaan viimeksihän loppui 5-2 	Arsulle	 ( 33 maalia kuudessa edellisessä kohtaamisessa ) joten voi toki olla isotkin luvut taululla , saa nähdä ajaako varovaisuuteen tänään .
penkkiurheilu03122	negative,negative	suoritus,taito	Jooh ei näillä esityksillä ole mitään asiaa edes neljännesvälieriin . Ala-arvoisinta Barcelonaa ainakin viiteen vuoteen . On se 	Munchen	 silti vaan kova .
penkkiurheilu03904	mixed,mixed,positive	kuntoisuus,status,taito	Kaikkien aikojen huonoin Stanley Cupin voittanut maalivahti pelaa kyllä hyvin . Hyvä Niemi ja Sharks , vaikkakaan en ole yli kymmeneen vuoteen 	Sharksia	 sen kummemmin kannattanut . Jonneaikojen muistona kuitenkin tunnen sympatiaa joukkuetta kohtaan .
penkkiurheilu04295	neutral,negative	hinta,hinta	Tossa kun huvikseni laskeskelin , niin päädyin sellaiseen lopputulokseen että Chelsean tällä kaudella pelanneet pelaajat maksoivat yhteensä 284 miljoonaa euroa ja 	Barcan	 248 miljoonaa euroa . Eihän tossa ole eroa kuin yhden ylihinnoitellun pelaajan verran sisu liittyy :D
penkkiurheilu04908	positive,positive,positive	menestys,saavutus,voitto		Barca	 sentään voitti jotain . Eikä vain jotain vaan liiga mestaruuden .
penkkiurheilu05283	neutral,neutral,neutral,neutral	yleinen	Laita kuvat johonki Imageshackiin tai 	Photobucketiin	 albumiin tai dumppaa tähän . Ois kiva nähdä kaikki .
penkkiurheilu05505	negative,neutral,negative,neutral	kannattajakulttuuri,medialukutaito	Kummassakaan kirjoituksessa ei vaadita kenenkään alkaa kannattaa 	Pelicanseja	 vaikka kirjoitukset ovatkin julkaitu ko. seuran kannattajien sivuilla . Nuo ovat kannanottoja suomalaisen kannattajakulttuurin puolesta . Tue paikallistasi , tunnusta väriä , näytä tunnetta ja seiso omiesi takana loppuun asti ylpeänä hyvinä ja huonoina hetkinä . Luetun ymmärtäminen on tärkeä taito .
penkkiurheilu07404	neutral,neutral,unclear,positive	urheilu	Jotain aikatauluja olisi hyvä saada . Löytynee 	Ylen	 sivuilta ? Keihäänheitto eniten kiinnostaa nyt kun Pitkämäkikin on taas ollut vakuuttavassa vedossa .
penkkiurheilu09410	neutral,neutral,neutral		Juuh eli Sagna teki maalin . On niitä 	Wikipedian	 mukaan ollut jo kolme ( 3 ) aikaisempaa , mutta ensimmäinen mitä itse nähnyt .
penkkiurheilu09658	negative,neutral,negative	mestaruus,sarja,taito,taso,vitsi,voitt	Hauska fakta . Honka tulee voittamaan mestaruuden mikäli se voittaa jokaisen jäljellä olevan ottelunsa 10 maalilla , sekä 	HJK	 ei tee maaliakaan ja ei saa enää pistettäkään .
penkkiurheilu14061	positive,positive	monipuolisuus,taito	Ja hjk : n lajit ovat pelkästään jalkapallo , god tier 	Tepsissä	 osataan pelata muitakin lajeja
penkkiurheilu14679	neutral,neutral	yleinen	Jos tosiaan 	Maikkarilta	 näkyy niin voisi kerrankin katsoa . 5/5 tapahtuma Le Mansin 24h kisan ohella .
penkkiurheilu15956	neutral,neutral,neutral		Onko noi 	Apoelin	 päädyssä olevat paidattomat vihaiset miehet Apoelin vai Klubin faneja ?
penkkiurheilu16751	neutral,neutral,neutral,unclear,neutral	yleinen	Niin ja tosiaan 	fulham	 on vissiin hommaamassa jotain bulgarialaista veskaria , joka menisi ainakin papereilla heittämällä ykkösveskaks Jorosen ohi .
penkkiurheilu18316	neutral,neutral,neutral,negative		Jaa , en tiennytkään että nousukarsinnat palaa . Hömh , siinä on kyllä riskit sitten , koska tasoeroa on kuitenkin veikkauksen hyväksi . Parempi olisi , jos voittaja pääsee automaattisesti ja kakkonen karsii . 	Allsvenskanissa	 se on kaksi ja yksi karsii .
penkkiurheilu19003	positive,neutral,neutral,neutral	hinta,laatu	Jos NBA kiinnostaa , suosittelen palvelua nimeltä 	BallStreams	 . League pass - kopio , mutta melkein 3x halvempi . Yritys sijaitsee Alankomaissa ja touhu on kuulemma laillista joten sivujen kaatuminen ei ole hirveän todennäköistä .
politiikka03968	positive,positive		Katsopa uudelleen Danin TV-esiintymiset ym. ja käy vaikka luennolla kuuntelemassa . Samassa lauseessa jatkuvasti persut ja äärioikeisto . Danin pitäsi sanoutua irti 	perussuomalaisten	 leimaamisesta äärioikeistolaiseksi ! Olkiukkoiluun vetoaminen joka käänteessä on muuten vitun lapsellista .
politiikka08153	negative,negative	arvot,luotettavuus,puolueettomuus	Aika mustavalkoista määritellä 	Hesaria	 jonkun puolueen mukaan , koska todellisuudessahan se on about kaikesta samaa mieltä hallituksen/eduskunnan/EK : n kanssa . Lyhyesti sanottuna se on vain näennäisesti puolueeton kärpäslätkä , joka ei kyseenalaista vallitsevaa yhteiskuntajärjestelmää ja politiikkaa , vaan pyrkii olemaan mahdollisimman suurelle yleisölle uppoava mielipiteenmuokkaaja .
ruokajajuoma00676	positive,positive,positive,positive	kuntoisuus,laatu,maku,maku	Itsepuristettu kaikkein parasta mutta Suomessa myytävistä kaupallisita varmasti 	Tropicana	 .
ruokajajuoma01066	mixed,mixed	hinta,hinta,koko,koko,maku,maku	Let ' s be honest here . 	Kotipizzan	 pizzat ovat hyviä , mutta ne ovat auttamattoman pieniä . Ja kalliita varsinkin kokoonsa nähden .
ruokajajuoma01484	negative,negative,negative	maku,maku	Itse en väkeviä juo juuri ollenkaan , mutta älkää nyymit missään nimessä menkö ostamaan sellaista litkua kun 	Ouzo	 . Aivan uskomattoman järkyttävää litkua .
ruokajajuoma05226	positive,neutral,positive	hinta,hinta,laatu,maku,maku	itsellä 	black velvet	 tänään maistissa . onko kellään kokemuksia ? netistä kun luin niin on kuulema yllättävän hyvää hintaansa nähden . viskeistä en yleensäkkään tiedä yhtään mitään .
ruokajajuoma05266	mixed,mixed,neutral	helppous,laatu,maku,maku	Jep . 	Tullamore	 toimii ihan ok mixerinä , mutta sellaisenaan erittäin helppo viski ; kuten todettu alkoholi kyllä paistaa vähän läpi .
ruokajajuoma06942	neutral,neutral,neutral,mixed	juoma,maku		Taliskeria	 viimeksi tullu juotua liian kauan sitten . Taidan ostaa uuden pullon ja koittaa ymmärtää mitä tarkoitat . Eipä siihe jää sitte ku se Bruichladdich peat , enempää en osaa auttaa . BTW Millaista oli octomore ? oliko ihan overkill savu ?
ruokajajuoma09074	neutral,neutral,neutral,unclear,neutral			Hehku	-viiniglögi lämmittynä totina eli 1 osa glögiä , 1 osa omenamehua , vaniljasokeria mausteeksi .
talous00359	negative,neutral,negative,negative	rahasiirto,vaatimukset,vaativuus,yleinen	Harmittaa kyllä kun bittiraha . fi toimii vuorokauden myöhässä ja 	Mtgox	 + kumppanit vaativat kaiken maailman dokumentteja että voi siirtää pankista rahaa . En päässyt mukaan hyötymään lampaiden paniikista
talous00476	unclear,neutral,mixed	kysymys	Olisiko verouudistuksista kiinni ? Sijoittajat ei oikein tiedä miten uudet päästöverot vaikuttaa Fortumin tulokseen . Itse tankkaisin , mutta on jo ylipainoa 	Fortumissa	 .
talous01139	positive,neutral	ansio,hinta,potenttiaali,tuotto	Melkoinen ostokiima ollut 	rautaruukkia	 kohtaan viimeiset viikot . Ilmeisesti yleinen usko terästeollisuuden nousuun syksyllä on nyt todella kova . Fumia pitäisi ostella osalla nokiasta tulleista rahoista .
talous01263	positive,positive,mixed	bonukset,bonus,hinta,hinta,keskittäminen	Ainakin 	OP:lla	 nuo keskittämisbonukset ovat sen verran suuria , että ne omalla kohdalla paikkaavat hieman korkeammat kaupankäyntikulut .
talous02210	neutral,neutral	luotettavuus	Miten rahastoihin sijoittaminen , esim 	Evli Suomi Select B	 ? Onko nämä riskittömämpiä , varmempia ?
talous04107	positive,neutral,neutral	hinta		ARCP : n	 osaketta saisi jo 11 dollarilla . Pitäisiköhän lähteä ostoksille ?
